USC00201675,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00304844,20161203,TMIN,17.0,,,7,1900.0,,,,,,,,,,,,,
KG000036982,20161203,TAVG,-81.0,H,,S,,,,,,,,,,,,,,
US1VAJC0038,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
IN005120000,20161203,TAVG,228.0,H,,S,,,,,,,,,,,,,,
USS0012M03S,20161203,WESD,533.0,,,T,,,,,,,,,,,,,,
USS0015D06S,20161203,TMAX,7.0,,,T,,,,,,,,,,,,,,
ASN00061054,20161203,TMAX,250.0,,,a,,,,,,,,,,,,,,
USC00408108,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
NOE00134886,20161203,TAVG,-33.0,H,,S,,,,,,,,,,,,,,
ASN00014508,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USS0013A15S,20161203,TMAX,-32.0,,,T,,,,,,,,,,,,,,
USW00053841,20161203,AWND,9.0,,,W,,,,,,,,,,,,,,
USC00017131,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
CA001160515,20161203,TMIN,-16.0,,,C,,,,,,,,,,,,,,
USS0009J05S,20161203,TMAX,-23.0,,,T,,,,,,,,,,,,,,
US1WIVR0002,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00125407,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
ASN00010122,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00410984,20161203,TMAX,178.0,,,7,700.0,,,,,,,,,,,,,
USC00056320,20161203,TMAX,39.0,,,7,600.0,,,,,,,,,,,,,
US1SCLN0008,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00103732,20161203,TMIN,-100.0,,,7,800.0,,,,,,,,,,,,,
USR0000MFOR,20161203,TMAX,72.0,H,,U,,,,,,,,,,,,,,
US1IAWY0003,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1WASG0001,20161203,PRCP,23.0,,,N,,,,,,,,,,,,,,
ASN00003080,20161203,TMAX,394.0,,,a,,,,,,,,,,,,,,
US1MOFSA041,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
JA000047640,20161203,TMAX,130.0,,,S,,,,,,,,,,,,,,
